Postcode,Suburb
3219,"Breakwater, East Geelong, Newcomb, St Albans Park, Thomson, Whittington"
3220,"Bareena, Geelong, Newtown, South Geelong"
3221,"Barrabool, Ceres, Geelong Mc, Gnarwarre"
3222,"Clifton Springs, Curlewis, Drysdale, Mannerim, Marcus Hill, Wallington"
3223,"Bellarine, Indented Head, Portarlington, St Leonards"
3224,"Leopold, Moolap"
3225,"Point Lonsdale, Queenscliff, Swan Bay, Swan Island"
3226,Ocean Grove
3227,"Barwon Heads, Breamlea, Connewarre"
3228,"Bellbrae, Bells Beach, Jan Juc, Torquay"
3230,Anglesea
3231,"Aireys Inlet, Big Hill, Eastern View, Fairhaven, Moggs Creek"
3232,Lorne
3233,"Apollo Bay, Cape Otway, Marengo, Petticoat Creek, Skenes Creek, Skenes Creek North"
3234,"Grey River, Kennett River, Separation Creek, Sugarloaf, Wongarra, Wye River"
3235,"Benwerrin, Boonah, Deans Marsh, Pennyroyal"
3236,"Forrest, Mount Sabine"
3237,"Aire Valley, Beech Forest, Ferguson, Gellibrand Lower, Wattle Hill, Weeaproinah, Wyelangta, Yuulong"
3238,"Glenaire, Hordern Vale, Johanna, Lavers Hill"
3239,"Carlisle River, Chapple Vale, Gellibrand, Kennedys Creek"
3240,"Buckley, Gherang, Modewarre, Moriac, Mount Moriac, Paraparap"
3241,"Bambra, Ombersley, Wensleydale, Winchelsea, Winchelsea South, Wurdiboluc"
3242,Birregurra
3243,"Barwon Downs, Murroon, Warncoort, Whoorel"
3249,"Alvie, Balintore, Barongarook, Barongarook West, Barramunga, Coragulac, Corunnun, Dreeite, Dreeite South, Gerangamete, Irrewarra, Irrewillipe, Irrewillipe East, Kawarren, Larpent, Nalangil, Ondit, Pirron Yallock, Pomborneit East, Swan Marsh, Tanybryn, Warrion, Wool Wool, Yeo, Yeodene"
3250,"Colac, Colac East, Colac West, Elliminyt"
3251,"Beeac, Cundare, Cundare North, Eurack, Weering"
3254,Cororooke
3256,-
3257,-
3259,-
3260,"Bookaar, Bostocks Creek, Bungador, Camperdown, Carpendeit, Chocolyn, Gnotuk, Kariah, Koallah, Leslie Manor, Pomborneit, Pomborneit North, Skibo, South Purrumbete, Stonyford, Tandarook, Tesbury, Weerite"
3264,Terang
3265,"Boorcan, Cudgee, Dixie, Ecklin South, Ellerslie, Framlingham, Framlingham East, Garvoc, Glenormiston, Glenormiston North, Glenormiston South, Kolora, Laang, Noorat, Noorat East, Panmure, Taroon, The Sisters"
3266,"Bullaharre, Cobden, Cobrico, Elingamite, Elingamite North, Glenfyne, Jancourt, Jancourt East, Naroghid, Simpson"
3267,Scotts Creek
3268,"Ayrford, Brucknell, Cooriemungle, Cowleys Creek, Curdies River, Curdievale, Heytesbury Lower, Newfield, Nirranda, Nirranda East, Nirranda South, Nullawarre, Nullawarre North, Paaratte, The Cove, Timboon, Timboon West"
3269,"Port Campbell, Princetown, Waarre"
3270,Peterborough
3271,"Darlington, Dundonnell, Pura Pura"
3272,"Mortlake, Woorndoo"
3273,Hexham
3274,Caramut
3275,Mailors Flat
3276,"Minjah, Woolsthorpe"
3277,"Allansford, Mepunga, Mepunga East, Mepunga West, Naringal, Naringal East"
3278,"Purnim, Purnim West"
3279,"Ballangeich, Wangoom"
3280,"Dennington, Warrnambool"
3281,"Bushfield, Grassmere, Winslow, Woodford"
3282,"Illowa, Koroit"
3283,"Crossley, Killarney, Kirkstall, Southern Cross, Tarrone, Tower Hill, Warrong, Willatook, Yangery, Yarpturk"
3284,"Orford, Port Fairy"
3285,"Codrington, Narrawong, Rosebrook, St Helens, Toolong, Tyrendarra, Tyrendarra East, Yambuk"
3286,"Condah Swamp, Knebsworth, Macarthur, Warrabkook"
3287,"Hawkesdale, Minhamite"
3288,-
3289,"Gazette, Gerrigerrup, Penshurst, Purdeet, Tabor"
3290,-
3291,-
3292,Nelson
3293,"Glenthompson, Nareeb, Narrapumelap South"
3294,"Dunkeld, Karabeal, Mirranatwa, Moutajup, Victoria Point, Victoria Valley, Woodhouse"
3300,"Byaduk North, Hamilton"
3301,"Bochara, Broadwater, Buckley Swamp, Byaduk, Croxton East, Hensley Park, Morgiana, Mount Napier, Strathkellar, Tahara, Tarrington, Wannon, Warrayure, Yatchaw, Yulecart"
3302,"Branxholme, Grassdale"
3303,"Breakaway Creek, Condah, Hotspur, Lake Condah, Wallacedale"
3304,"Bessiebelle, Dartmoor, Drik Drik, Drumborg, Greenwald, Heywood, Homerton, Lyons, Milltown, Mumbannar, Myamyn, Winnap"
3305,"Allestree, Bolwarra, Cape Bridgewater, Cashmore, Dutton Way, Gorae, Gorae West, Heathmere, Mount Richmond, Portland, Portland North, Portland West"
3306,-
3307,-
3309,Digby
3310,"Merino, Tahara West"
3311,"Casterton, Corndale"
3312,"Bahgallah, Brimboal, Carapook, Chetwynd, Dergholm, Dorodong, Dunrobin, Henty, Killara, Lake Mundi, Lindsay, Nangeela, Poolaijelo, Powers Creek, Sandford, Strathdownie, Wando Bridge, Wando Vale, Warrock"
3314,"Bulart, Cavendish, Glenisla, Grampians, Mooralla"
3315,"Brit Brit, Clover Flat, Coleraine, Coojar, Culla, Gringegalgona, Gritjurk, Hilgay, Konongwootong, Melville Forest, Muntham, Nareen, Paschendale, Tahara Bridge, Tarrayoukyan, Tarrenlea, Wootong Vale"
3317,Harrow
3318,"Charam, Connewirricoo, Edenhope, Kadnook, Langkoop, Patyah, Ullswater"
3319,"Apsley, Benayeo, Bringalbert"
3320,-
3321,"Hesse, Inverleigh, Wingeel"
3322,Cressy
3323,"Berrybank, Duverney, Foxhow"
3324,"Lismore, Mingay, Mount Bute"
3325,"Derrinallum, Larralea, Vite Vite, Vite Vite North"
3328,Teesdale
3329,"Barunah Park, Barunah Plains, Shelford"
3330,Rokewood
3331,"Bannockburn, Gheringhap, Maude, Russells Bridge, She Oaks, Steiglitz, Sutherlands Creek"
3332,Lethbridge
3333,"Bamganie, Meredith"
3334,"Bungal, Cargerie, Elaine, Morrisons, Mount Doran"
3335,"Plumpton, Rockbank"
3336,-
3337,"Kurunjang, Melton, Melton West, Toolern Vale"
3338,"Brookfield, Exford, Eynesbury, Melton South"
3339,-
3340,"Bacchus Marsh, Balliang, Balliang East, Coimadai, Darley, Glenmore, Hopetoun Park, Long Forest, Maddingley, Merrimu, Parwan, Rowsley, Staughton Vale"
3341,"Dales Creek, Greendale, Korobeit, Myrniong, Pentland Hills"
3342,"Ballan, Beremboke, Blakeville, Bunding, Colbrook, Durdidwarrah, Fiskville, Ingliston, Mount Wallace"
3345,Gordon
3346,-
3350,"Alfredton, Bakery Hill, Ballarat, Ballarat Central, Ballarat East, Ballarat North, Ballarat West, Black Hill, Brown Hill, Canadian, Eureka, Golden Point, Invermay Park, Lake Wendouree, Lucas, Mount Clear, Mount Helen, Mount Pleasant, Nerrina, Newington, Redan, Soldiers Hill"
3351,"Berringa, Bo Peep, Cape Clear, Carngham, Chepstowe, Haddon, Hillcrest, Illabarook, Lake Bolac, Mininera, Mount Emu, Nerrin Nerrin, Newtown, Nintingbool, Piggoreet, Pitfield, Rokewood Junction, Ross Creek, Scarsdale, Smythes Creek, Smythesdale, Snake Valley, Springdallah, Staffordshire Reef, Streatham, Wallinduc, Westmere"
3352,"Addington, Blowhard, Bolwarrah, Bonshaw, Brewster, Bullarook, Bungaree, Bunkers Hill, Burrumbeet, Cambrian Hill, Cardigan, Cardigan Village, Chapel Flat, Clarendon, Claretown, Clarkes Hill, Corindhap, Dereel, Dunnstown, Durham Lead, Enfield, Ercildoune, Garibaldi, Glen Park, Glenbrae, Gong Gong, Grenville, Invermay, Lal Lal, Lamplough, Langi Kal Kal, Learmonth, Leigh Creek, Lexton, Magpie, Millbrook, Miners Rest, Mollongghip, Mount Bolton, Mount Egerton, Mount Mercer, Mount Rowan, Napoleons, Navigators, Pootilla, Scotchmans Lead, Scotsburn, Springbank, Sulky, Wallace, Warrenheip, Wattle Flat, Waubra, Weatherboard, Werneth, Windermere, Yendon"
3353,-
3354,-
3355,"Lake Gardens, Mitchell Park, Wendouree, Wendouree Village"
3356,"Delacombe, Sebastopol"
3357,Buninyong
3358,Winter Valley
3359,-
3360,"Happy Valley, Linton, Mannibadar, Pittong, Willowvale"
3361,"Bradvale, Carranballac, Skipton"
3363,"Creswick, Creswick North, Dean, Glendaruel, Langdons Hill, Mount Beckworth, Tourello"
3364,"Allendale, Ascot, Bald Hills, Barkstead, Blampied, Broomfield, Cabbage Tree, Campbelltown, Coghills Creek, Glendonald, Joyces Creek, Kingston, Kooroocheang, Lawrence, Mount Prospect, Newlyn, Newlyn North, Rocklyn, Smeaton, Smokeytown, Springmount, Strathlea, Werona"
3365,-
3370,"Clunes, Glengower, Mount Cameron, Ullina"
3371,"Amherst, Burnbank, Caralulup, Dunach, Evansford, Lillicur, Mount Glasgow, Red Lion, Stony Creek, Talbot"
3373,"Beaufort, Chute, Cross Roads, Lake Goldsmith, Lake Wongan, Main Lead, Mena Park, Nerring, Raglan, Stockyard Hill, Stoneleigh, Trawalla, Waterloo"
3374,Great Western
3375,"Ballyrogan, Bayindeen, Buangor, Middle Creek"
3377,"Ararat, Armstrong, Bulgana, Cathcart, Crowlands, Denicull Creek, Dobie, Dunneworthy, Eversley, Langi Logan, Maroona, Mount Cole, Mount Cole Creek, Moyston, Norval, Rhymney, Rocky Point, Rossbridge, Shays Flat, Warrak"
3378,"Tatyoon, Yalla-Y-Poora"
3379,"Bornes Hill, Chatsworth, Mafeking, Stavely, Wickliffe, Willaura, Willaura North"
3380,"Stawell, Stawell West"
3381,"Bellellen, Bellfield, Black Range, Fyans Creek, Halls Gap, Illawarra, Lake Fyans, Lake Lonsdale, Mokepilly, Mount Dryden, Pomonal"
3382,-
3384,"Barkly, Concongella, Frenchmans, Joel Joel, Joel South, Landsborough, Landsborough West, Navarre, Tulkara, Wattle Creek"
3385,"Dadswells Bridge, Deep Lead, Glenorchy, Ledcourt, Lubeck, Riachella, Roses Gap, Wal Wal"
3386,-
3387,"Bolangum, Callawadda, Campbells Bridge, Germania, Greens Creek, Kanya, Marnoo, Marnoo West, Morrl Morrl, Wallaloo, Wallaloo East"
3388,"Banyena, Rupanyup"
3390,"Kewell, Murtoa"
3391,Brim
3392,"Boolite, Minyip, Sheep Hills"
3393,"Aubrey, Bangerang, Cannum, Crymelon, Kellalac, Lah, Warracknabeal, Wilkur, Willenabrina"
3395,"Beulah, Kenmare, Reedy Dam, Rosebery"
3396,Hopetoun
3398,-
3399,-
3400,Horsham
3401,"Blackheath, Brimpaen, Bungalally, Cherrypool, Dooen, Drung, Gymbowen, Haven, Jung, Kalkee, Kanagulk, Karnak, Laharum, Longerenong, Lower Norton, Mckenzie Creek, Mockinya, Murra Warra, Nurcoung, Nurrabiel, Pimpinio, Quantong, Riverside, Rocklands, St Helens Plains, Telangatuk East, Toolondo, Vectis, Wail, Wallup, Wartook, Wonwondah, Zumsteins"
3402,-
3405,-
3407,"Balmoral, Englefield, Gatum, Pigeon Ponds, Vasey"
3408,-
3409,"Arapiles, Clear Lake, Douglas, Duchembegarra, Grass Flat, Jilpanger, Miga Lake, Mitre, Natimuk, Noradjuha, Tooan, Wombelano"
3412,Goroke
3413,"Minimay, Neuarpurr, Ozenkadnook, Peronne"
3414,"Antwerp, Dimboola, Tarranyurk"
3415,Miram
3416,-
3417,-
3418,"Broughton, Gerang Gerung, Glenlee, Kiata, Lawloit, Little Desert, Lorquon, Netherby, Nhill, Yanac"
3419,Kaniva
3420,"Lillimur, Serviceton, Telopea Downs"
3421,-
3422,-
3423,Jeparit
3424,"Albacutya, Rainbow, Yaapeet"
3425,-
3427,Diggers Rest
3428,Bulla
3429,"Sunbury, Wildwood"
3430,Clarkefield
3431,Riddells Creek
3432,Bolinda
3433,Monegeetta
3434,"Cherokee, Kerrie, Romsey, Springfield"
3435,"Benloch, Goldie, Lancefield, Nulla Vale"
3437,"Bullengarook, Gisborne, Gisborne South"
3438,New Gisborne
3439,-
3440,Macedon
3441,Mount Macedon
3442,"Ashbourne, Cadello, Carlsruhe, Cobaw, Hesket, Newham, Rochford, Woodend, Woodend North"
3444,"Barfold, Baynton, Baynton East, Edgecombe, Glenhope, Greenhill, Kyneton, Kyneton South, Langley, Lauriston, Lyal, Metcalfe East, Mia Mia, Pastoria, Pastoria East, Pipers Creek, Redesdale, Sidonia, Spring Hill, Tylden, Tylden South"
3446,"Drummond North, Malmsbury"
3447,Taradale
3448,"Elphinstone, Metcalfe, Sutton Grange"
3449,-
3450,"Castlemaine, Moonlight Flat"
3451,"Barkers Creek, Campbells Creek, Chewton, Chewton Bushlands, Faraday, Fryerstown, Glenluce, Golden Point, Guildford, Irishtown, Mckenzie Hill, Muckleford, Tarilta, Vaughan, Yapeen"
3452,-
3453,"Harcourt, Harcourt North, Ravenswood, Ravenswood South"
3456,-
3457,-
3458,"Barrys Reef, Blackwood, Fern Hill, Lerderderg, Little Hampton, Newbury, North Blackwood, Trentham, Trentham East"
3459,-
3460,"Basalt, Daylesford"
3461,"Bullarto, Bullarto South, Clydesdale, Coomoora, Denver, Drummond, Dry Diggings, Eganstown, Elevated Plains, Franklinford, Glenlyon, Hepburn, Hepburn Springs, Korweinguboora, Leonards Hill, Lyonville, Mount Franklin, Musk, Musk Vale, Porcupine Ridge, Sailors Falls, Sailors Hill, Shepherds Flat, Spargo Creek, Strangways, Wheatsheaf, Yandoit, Yandoit Hills"
3462,"Green Gully, Muckleford South, Newstead, Sandon, Welshmans Reef"
3463,"Baringhup, Baringhup West, Bradford, Eastville, Gower, Laanecoorie, Maldon, Neereman, Nuggetty, Tarrengower, Walmer, Woodstock West"
3464,Carisbrook
3465,"Adelaide Lead, Alma, Bowenvale, Bung Bong, Cotswold, Craigie, Daisy Hill, Flagstaff, Golden Point, Havelock, Homebush, Majorca, Maryborough, Moolort, Moonlight Flat, Natte Yallock, Rathscar, Rathscar West, Simson, Timor, Timor West, Wareek"
3467,Avoca
3468,"Amphitheatre, Mount Lonarch"
3469,"Elmhurst, Glenlofty, Glenlogie, Glenpatrick, Nowhere Creek"
3470,-
3471,-
3472,"Bet Bet, Betley, Bromley, Dunluce, Dunolly, Eddington, Goldsborough, Inkerman, Mcintyre, Moliagul, Mount Hooghly"
3475,"Archdale, Archdale Junction, Bealiba, Burkes Flat, Cochranes Creek, Emu, Logan"
3477,"Avon Plains, Beazleys Bridge, Carapooee, Carapooee West, Coonooer Bridge, Coonooer West, Dalyenong, Gooroc, Gowar East, Grays Bridge, Gre Gre, Gre Gre North, Gre Gre South, Kooreh, Marnoo East, Moolerr, Moyreisk, Paradise, Redbank, Rostron, Slaty Creek, St Arnaud East, St Arnaud North, Stuart Mill, Sutherland, Swanwater, Tottington, Traynors Lagoon, Winjallok, York Plains"
3478,"Dooboobetic, Medlyn, Moonambel, Percydale, St Arnaud, Tanwood, Warrenmang, Yawong Hills"
3480,"Areegra, Carron, Cope Cope, Corack, Corack East, Donald, Gil Gil, Jeffcott, Jeffcott North, Laen, Laen East, Laen North, Lawler, Litchfield, Rich Avon, Rich Avon East, Rich Avon West, Swanwater West"
3482,"Massey, Morton Plains, Warmur, Watchem, Watchem West"
3483,"Ballapur, Birchip, Birchip West, Curyo, Jil Jil, Karyrie, Kinnabulla, Marlbed, Narraport, Whirily"
3484,-
3485,"Banyan, Watchupga, Willangie, Woomelang"
3487,Lascelles
3488,"Speed, Turriff, Turriff East"
3489,Tempy
3490,"Big Desert, Boinka, Kulwin, Mittyack, Murray-Sunset, Ouyen, Torrita, Tutye"
3491,Patchewollock
3494,"Carwarp, Colignan, Iraak, Nangiloc"
3495,-
3496,"Cardross, Cullulleraine, Lindsay Point, Meringur, Merrinee, Neds Corner, Red Cliffs, Sunnycliffs, Werrimull"
3498,Irymple
3500,"Mildura, Mildura West"
3501,"Hattah, Koorlong, Mildura Centre Plaza, Mildura South, Nichols Point"
3502,-
3505,"Birdwoodton, Cabarita, Merbein, Merbein South, Merbein West, Wargan, Yelta"
3506,Cowangie
3507,Walpeup
3509,"Linga, Underbool"
3510,-
3512,"Carina, Murrayville, Panitya"
3515,"Marong, Shelbourne, Wilsons Hill"
3516,"Bridgewater, Bridgewater North, Bridgewater On Loddon, Derby, Leichardt, Yarraberb"
3517,"Bears Lagoon, Brenanah, Glenalbyn, Inglewood, Jarklin, Kingower, Kurting, Powlett Plains, Rheola, Salisbury West, Serpentine"
3518,"Berrimal, Borung, Fentons Creek, Fernihurst, Fiery Flat, Kurraca, Kurraca West, Mysia, Nine Mile, Richmond Plains, Skinners Flat, Wedderburn, Wedderburn Junction, Wehla, Woolshed Flat, Woosang"
3520,"Kinypanial, Korong Vale"
3521,Pyalong
3522,"Glenhope East, Tooborac"
3523,"Argyle, Costerfield, Derrinal, Heathcote, Heathcote South, Knowsley, Ladys Pass, Moormbool West, Mount Camel, Redcastle"
3525,"Barrakee, Buckrabanyule, Charlton, Chirrip, Granite Flat, Lake Marmal, Nareewillock, Terrappee, Wooroonook, Wychitella, Wychitella North, Yeungroon, Yeungroon East"
3527,"Bunguluke, Dumosa, Glenloth, Glenloth East, Jeruk, Ninyeunook, Teddywaddy, Teddywaddy West, Thalia, Towaninny, Towaninny South, Wycheproof, Wycheproof South"
3529,"Kalpienung, Nullawil"
3530,"Culgoa, Sutton, Wangie, Warne"
3531,"Berriwillock, Boigbeat"
3533,"Bimbourie, Lake Tyrrell, Myall, Nandaly, Ninda, Nyarrin, Pier Milan, Sea Lake, Straten, Tyenna, Tyrrell, Tyrrell Downs"
3536,-
3537,"Barraport, Barraport West, Boort, Canary Island, Catumnal, Gredgwin, Leaghur, Minmindie, Yando"
3538,-
3539,-
3540,"Cannie, Oakvale, Quambatook"
3542,"Cokum, Lalbert, Tittybong"
3543,-
3544,"Chinangin, Gowanford, Murnungin, Springfield, Ultima, Ultima East, Waitchie"
3546,"Bolton, Chinkapook, Cocamba, Gerahmin, Manangatang, Turoar, Winnambool"
3549,"Annuello, Bannerton, Happy Valley, Liparoo, Robinvale, Robinvale Irrigation District Section B, Robinvale Irrigation District Section C, Robinvale Irrigation District Section D, Robinvale Irrigation District Section E, Tol Tol, Wandown, Wemen"
3550,"Bendigo, Bendigo South, East Bendigo, Flora Hill, Ironbark, Kennington, Long Gully, North Bendigo, Quarry Hill, Sandhurst East, Spring Gully, Strathdale, West Bendigo, White Hills"
3551,"Arnold, Arnold West, Ascot, Axe Creek, Axedale, Bagshot, Bagshot North, Bendigo Forward, Cornella, Creek View, Emu Creek, Eppalock, Epsom, Huntly, Huntly North, Junortoun, Kimbolton, Lake Eppalock, Llanelly, Lockwood, Lockwood South, Longlea, Maiden Gully, Mandurang, Mandurang South, Murphys Creek, Myola, Myrtle Creek, Newbridge, Painswick, Sedgwick, Strathfieldsaye, Tarnagulla, Toolleen, Waanyarra, Wellsford, Woodstock On Loddon"
3552,-
3554,-
3555,"Big Hill, Golden Gully, Golden Square, Kangaroo Flat, Lansell Plaza"
3556,"California Gully, Campbells Forest, Eaglehawk, Eaglehawk North, Jackass Flat, Myers Flat, Sailors Gully, Sebastian, Whipstick, Woodvale"
3557,"Barnadown, Fosterville, Goornong, Muskerry"
3558,"Burnewang, Corop West, Elmore, Hunter, Runnymede"
3559,"Avonmore, Burramboot, Colbinabbin, Corop, Gobarup"
3560,-
3561,"Ballendella, Bamawm, Bonn, Diggora, Fairy Dell, Nanneella, Rochester, Timmering"
3562,Torrumbarry
3563,Lockington
